6772,train,1,"I absolutely love this hotel. I stayed here for a few nights and I absolutely loved every second of it. Honestly, I think I will be staying here every time I go to Vegas from here on out. That's how much I enjoyed the Cosmo. The rooms are amazing and spacious, they almost all have amazing views and its a really big grandiose hotel.  I'm glad that they've toned down the glittery aspects of the hotel from what it used to be when  it opened, which was gaudy and painful to the eyes. Now its just classy and full of amazing bars, restaurants and people. I really enjoy walking through this hotel and just getting drinks with friends at the Chandelier (a gigantic 3 storey bar under a chandelier).  The parking situation could be better, but I do appreciate the parking sensors that tell you which spots are occupied and which spots are open. I also don't like that you have to take an elevator from the parking garage to the main lobby level and then take the elevators from the lobby level to the rooms. ALSO they really need to fix the card readers in the elevators because they don't work. Please adopt NFC for your keycards or something because the card readers in the elevators are embarassingly broken."
3193,train,1,"I have only been to the pool area. It is very mellow, and service is as good as it gets. Access to the Mandalay wave pool is also included which makes this great for families too."
5252,test,1,Stayed at the wrapped around suite in 61 floor.  The room and the view is perfect!  Make sure to ask for a higher floor room.  The price is the same but thr view is not.  I deducted one star for the hot water being way too hot.  I mean really really hot.  I couldnt take a proper shower.
1272,train,1,"This hotel is new, built in 2010-11, the airport is very close but don't worry you won't be disturbed by the noise.  The rooms are large, very clean, the staff is very friendly. There is a pool, business center, gym center, restaurant, free parking, well everything you need to have a perfect stay.  Very nice stay at this Holiday Inn, will repeat!"
6984,train,1,"The only spot on the strip that does not make me want to barf and go home.  Fantastic, edgy, steampunk art.  Sleek and lovely, douchebag factor seems pretty low.  Intelligent restaurants and shopping designed for the more discriminating strip-go'er."
6982,train,-1,"I am a gold member of Marriott [recently a Platinum member as well] and have stayed at Cosmopolitan before on multiple occasions. Yes, we all know it's a beautiful hotel, I cannot deny that. I was originally going to give them 1 star for the terrible customer service we were given this past weekend, I am truly disappointed in how they treat their Gold Members here; however I will mention that they have made efforts in trying to fix the problem, hence now the 2 stars. If you're going to treat me just like a normal guest, what is the incentive for me to keep staying here? I waited the whole weekend not to write this review and thought that I would feel better after the weekend, but no, I am still pissed off at their customer service.   Let me start out by saying a group of 9 girls are here for a Bachelorette party. We booked Qty 2, double queen Terrace Suite rooms. We arrived at 9:30am in the morning, knowing check in is at 3pm, but hoping the rooms would be available in the morning anyway so that we can prep 1 of the rooms for the Bride-to-be's arrival. No rooms were available. They even had the reservations incorrect, as the system said that I had only booked 1-king bed room, and another double queen bed room. [We had booked this many months prior to our arrival] When I showed them my confirmation email, they had acknowledged that they had it wrong in the system and will change it to reflect the correct rooms. They also told me check-out is at 11am so most likely there wasn't going to be any rooms available until at least check-out when they could clean some rooms for us. I had mentioned that we would prefer to have adjoining rooms however understood that it can't be guaranteed, but we at least wanted the rooms to be on the same floor for convenience. Ok...so we left to do other things but continued to keep checking in throughout the day. Nothing was available, not even at 3pm, which is the regular check-in time. NOT EVEN 1 ROOM. Really? You're telling me, that check out was at 11am. And that not even 1 room had checked out, and was cleaned by 3pm?? We had been waiting around at the Vesper bar where the waitress had walked past us probably at least 20 times and noticed we had been there practically the whole day. When she asked the situation, she must've felt bad for us, and told us that when we finally do check into our room, to let her know what the room number it is, so that she can send up some champagne for the inconvenience and for it also being a Bachelorette party.  [Fast Forward: When we finally were able to check into the room, we did give her the room number...and guess what....no champagne ever came - great intention but don't promise something you can't keep!] By 330pm I had had enough, and complained about how we have been waiting around [for what felt like forever] and please just to find us 1 room so we can get checked in and relaxed. They said they were able to get us 1 room (it wasn't going to be adjoining rooms - but by that time, that was fine) So excited to get into our 1 room while we continued to wait for our 2nd room to be available. We get in....and it's a 1-King Size bed room, for 9 girls. Lovely, just lovely. We finally called on the phone and asked to speak with a manager to get us into a double queen room, in which she [I think Emily] kept saying that there was no other rooms available at the moment and that she WASNT EVEN SURE if there will be one available for us TODAY at all. They even tried to tell us that we could use the Sleeper Pull Out Sofa in the meantime.... OK 1 king size bed and 1 sleeper pull-out [which was uncomfortable as hell] FOR 9 GIRLS?! Really? I can't even believe this was suggested. Finally, after being put on hold multiple times and them trying to find the 2nd room for us, they came with this solution: We would stay in that current 1 king size bed room, and they got another double queen room for us (for that night) and the next day, they would look for 2 double queen bed rooms for us but it wasn't guaranteed that it would be on the same floor. I was so pissed, but exhausted from this whole experience, we just had to take what was available. It was upsetting and embarrassing [for the bride to be - her first time really getting to enjoy a vegas trip and it started horribly] They offered a $100 food/drink credit to be used inside their hotel which was useless to us.   The next day, they were able to get us the 2 double queen rooms we were looking for, not adjoining rooms but on the same floor - which was fine. They sent us up some chocolates and a hand written note, that was a nice gesture but could never make up for the experience. This also doesn't make up for booking for Qty 2 double queen rooms and having to pay that same price but getting only 1 king bed on the first night [they should have credited the bill proportionate to the 1 king size room for that room for that night to keep a repeat customer] Sad to say, that I can never ever stay here again."
2454,train,0,"**Casino Only**  Have never stayed here but been here a few times over the past,  The casino is older and like most has the same slot machines.  Convenient to all the action of the Fremont Street Experience.  You get the old Vegas feel that I like. And one of the best restaurants is located here! Hugo's Cellar! A must go to restaurant. Check their reviews on their page!   There is no glitz like the hotels on the strip but it is ok if your going in to go to dinner or do the casino stuff.  I think the casino is a bit more smokier smelling than some but remember it is a older casino and your not on the strip!  They do have entertainment here and I HIGHLY recommend you going to see ~ Spirit of the King, starring Elvis Artist, Steve Connolly. He Is here entertaining. I have seen him perform and he is amazing! So if your wanting to see a good Elvis Artist you will like Steve!! Make sure if you stay here to see him!"
2199,train,-1,"New ownership brought cost cutting methods. Dirty rooms, horrible breakfast service, no more complimentary happy hour. I wouldn't touch this place anymore..."
853,train,-1,"This hotel was ok, the Host -Quntin was great., the room took a while to heat up. and the food was good and alot ( dinner). the cheapest thing on the menu was $12.00. The room was wonderful other then the heat part. When it was time to get up the breakfast food was bad. bacon was cooked to hard, the eggs were hard, the fruit was the only thing they could not mess up. that cost me $15.00 (not happy) I went here because my flight got bumped and the next flight was not until the next day. ( not happy). When i went to the bar for dinner they had hockey on and i ask could they change the channel to CNN OR SOMETHING else the guy said no !! all 6 of the tv had to stay on that channel it was a wiring problem."
8543,train,1,"Anytime I'm on vacation in another city, I try and do these sightseeing tours. I believe it's a good way to see what your city has to offer, especially if it's your first time or you're not familiar with the city. On my second to last day, I decided to look on Groupon and look for activities and they had a voucher for various options for the tour. I opted for the one day hop on, hop off for two ($40). They had additional options which included an extra day with lunch or a ticket to CSI experience.  There was a bus stop not too far from the hotel and we took the one hour ride from the strip through out Vegas, got some knowledge of Vegas, saw some greats sights, and some not so great sights in the Downtown part of Vegas which appeared to be a bit sketchy.  I would say it's definitely a good idea if you're a first timer in Vegas like myself and hop on and hop off and see the town!  P.S. Don't forget to tip the drivers!"
